customer_id,sequence_pattern,anomaly_score,anomaly_level,explanation
C873175411,"REPEATED_HIGH_VALUE_TO_C766572210: CASH_OUT(136,872.92) -> TRANSFER(554,026.99) -> TRANSFER(224,606.64) | HIGH_VALUE_TRANSFER: TRANSFER(224,606.64) to C766572210",80,HIGH,"Destination C766572210 received 3 high-value transactions (>10,000) from accounts: C1533123860, C1603696865, C873175411; amounts: 136,872.92, 554,026.99, 224,606.64; High-value transfer of 224,606.64 from C873175411 to C766572210; TRANSFER is a higher-risk transaction type"
C1670993182,"SUDDEN_INCREASE: TRANSFER(215,310.30) vs balance(705.00) | HIGH_VALUE_TRANSFER: TRANSFER(215,310.30) to C1100439041",80,HIGH,"Transaction amount 215,310.30 consumes 30540.5% of account balance 705.00; large balance drain above 10,000 suggests possible fraud; High-value transfer of 215,310.30 from C1670993182 to C1100439041; TRANSFER is a higher-risk transaction type"
C1718906711,"SUDDEN_INCREASE: CASH_OUT(94,253.33) vs balance(25,203.05) | HIGH_VALUE_CASHOUT: CASH_OUT(94,253.33)",80,HIGH,"Transaction amount 94,253.33 consumes 374.0% of account balance 25,203.05; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 94,253.33 from C1718906711; CASH_OUT is a high-risk transaction type"
C1570470538,"SUDDEN_INCREASE: CASH_OUT(56,953.90) vs balance(1,942.02) | HIGH_VALUE_CASHOUT: CASH_OUT(56,953.90)",80,HIGH,"Transaction amount 56,953.90 consumes 2932.7% of account balance 1,942.02; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 56,953.90 from C1570470538; CASH_OUT is a high-risk transaction type"
C1984094095,"SUDDEN_INCREASE: TRANSFER(311,685.89) vs balance(10,835.00) | HIGH_VALUE_TRANSFER: TRANSFER(311,685.89) to C932583850",80,HIGH,"Transaction amount 311,685.89 consumes 2876.7% of account balance 10,835.00; large balance drain above 10,000 suggests possible fraud; High-value transfer of 311,685.89 from C1984094095 to C932583850; TRANSFER is a higher-risk transaction type"
C908084672,"REPEATED_HIGH_VALUE_TO_C392292416: TRANSFER(125,872.53) -> TRANSFER(358,831.92) | HIGH_VALUE_TRANSFER: TRANSFER(358,831.92) to C392292416",70,MEDIUM,"Destination C392292416 received 2 high-value transactions (>10,000) from accounts: C1443967876, C908084672; amounts: 125,872.53, 358,831.92; High-value transfer of 358,831.92 from C908084672 to C392292416; TRANSFER is a higher-risk transaction type"
C283039401,"SUDDEN_INCREASE: TRANSFER(42,712.39) vs balance(10,363.39) | HIGH_VALUE_TRANSFER: TRANSFER(42,712.39) to C1330106945",70,MEDIUM,"Transaction amount 42,712.39 consumes 412.1% of account balance 10,363.39; large balance drain above 10,000 suggests possible fraud; High-value transfer of 42,712.39 from C283039401 to C1330106945; TRANSFER is a higher-risk transaction type"
C1556867940,"REPEATED_HIGH_VALUE_TO_C1509514333: TRANSFER(209,711.11) -> CASH_OUT(110,414.71) | HIGH_VALUE_TRANSFER: TRANSFER(209,711.11) to C1509514333",70,MEDIUM,"Destination C1509514333 received 2 high-value transactions (>10,000) from accounts: C1556867940, C768216420; amounts: 209,711.11, 110,414.71; High-value transfer of 209,711.11 from C1556867940 to C1509514333; TRANSFER is a higher-risk transaction type"
C1443967876,"REPEATED_HIGH_VALUE_TO_C392292416: TRANSFER(125,872.53) -> TRANSFER(358,831.92) | HIGH_VALUE_TRANSFER: TRANSFER(125,872.53) to C392292416",70,MEDIUM,"Destination C392292416 received 2 high-value transactions (>10,000) from accounts: C1443967876, C908084672; amounts: 125,872.53, 358,831.92; High-value transfer of 125,872.53 from C1443967876 to C392292416; TRANSFER is a higher-risk transaction type"
C2072313080,"SUDDEN_INCREASE: CASH_OUT(23,261.30) vs balance(20,411.53) | HIGH_VALUE_CASHOUT: CASH_OUT(23,261.30)",66,MEDIUM,"Transaction amount 23,261.30 consumes 114.0% of account balance 20,411.53; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 23,261.30 from C2072313080; CASH_OUT is a high-risk transaction type"
C1305486145,TRANSFER_THEN_CASHOUT: TRANSFER(181.00) by C1305486145 -> CASH_OUT(181.00) by C840083671 | CONFIRMED_FRAUD: TRANSFER(181.00),60,MEDIUM,Transfer of 181.00 from C1305486145 to C553264065 at step 1 matched by cash-out of 181.00 from C840083671; potential layering pattern; Transaction TRANSFER of 181.00 from C1305486145: confirmed fraud (isFraud=1)
C840083671,TRANSFER_THEN_CASHOUT: TRANSFER(181.00) by C1305486145 -> CASH_OUT(181.00) by C840083671 | CONFIRMED_FRAUD: CASH_OUT(181.00),60,MEDIUM,Cash-out of 181.00 from C840083671 at step 1 matches transfer of 181.00 from C1305486145; potential layering pattern; Transaction CASH_OUT of 181.00 from C840083671: confirmed fraud (isFraud=1)
C1839168128,"HIGH_VALUE_TRANSFER: TRANSFER(583,848.46) to C1286084959",40,MEDIUM,"High-value transfer of 583,848.46 from C1839168128 to C1286084959; TRANSFER is a higher-risk transaction type"
C926859124,"HIGH_VALUE_TRANSFER: TRANSFER(1,505,626.01) to C665576141",40,MEDIUM,"High-value transfer of 1,505,626.01 from C926859124 to C665576141; TRANSFER is a higher-risk transaction type"
C1716932897,"SUDDEN_INCREASE: PAYMENT(11,633.76) vs balance(10,127.00)",36,LOW,"Transaction amount 11,633.76 consumes 114.9% of account balance 10,127.00; large balance drain above 10,000 suggests possible fraud"
C527211736,"HIGH_VALUE_CASHOUT: CASH_OUT(47,458.86)",30,LOW,"High-value cash-out of 47,458.86 from C527211736; CASH_OUT is a high-risk transaction type"
C1243171897,"HIGH_VALUE_TRANSFER: TRANSFER(17,231.46) to C783286238",20,LOW,"High-value transfer of 17,231.46 from C1243171897 to C783286238; TRANSFER is a higher-risk transaction type"
C1376151044,"HIGH_VALUE_TRANSFER: TRANSFER(78,766.03) to C1749186397",20,LOW,"High-value transfer of 78,766.03 from C1376151044 to C1749186397; TRANSFER is a higher-risk transaction type"
C1976401987,"HIGH_VALUE_TRANSFER: TRANSFER(62,610.80) to C1937962514",20,LOW,"High-value transfer of 62,610.80 from C1976401987 to C1937962514; TRANSFER is a higher-risk transaction type"
C207471778,"HIGH_VALUE_TRANSFER: TRANSFER(77,957.68) to C1761291320",20,LOW,"High-value transfer of 77,957.68 from C207471778 to C1761291320; TRANSFER is a higher-risk transaction type"
C605982374,"HIGH_VALUE_TRANSFER: TRANSFER(11,996.58) to C1225616405",20,LOW,"High-value transfer of 11,996.58 from C605982374 to C1225616405; TRANSFER is a higher-risk transaction type"
